pilotpid,Methanobrevibacter,Methanosphaera,Methanomassiliicoccus,vadinCA11,Actinomyces,Arcanobacterium,Mobiluncus,Corynebacterium,Rothia,Propionibacterium,Bifidobacterium,Gardnerella,Scardovia,Adlercreutzia,Atopobium,Collinsella,Eggerthella,Enterococcus,Slackia,Bacteroides,Paludibacter,Parabacteroides,Porphyromonas,Tannerella,Prevotella,AF12,Alistipes,Butyricimonas,Odoribacter,CF231,Paraprevotella,YRC22,Capnocytophaga,Pedobacter,Bacillus,Staphylococcus,Abiotrophia,Lactobacillus,Pediococcus,Leuconostoc,Weissella,Lactococcus,Streptococcus,Turicibacter,Christensenella,Clostridium,SMB53,Dehalobacterium,Anaerofustis,Pseudoramibacter_Eubacterium,Anaerostipes,Blautia,Butyrivibrio,Coprococcus,Dorea,Lachnoanaerobaculum,Lachnobacterium,Lachnospira,Lactonifactor,Marvinbryantia,Moryella,Oribacterium,Roseburia,Shuttleworthia,Ruminococcus,Peptococcus,rc4-4,Peptostreptococcus,Anaerotruncus,Butyricicoccus,Faecalibacterium,Gemmiger,Oscillospira,Syntrophomonas,Acidaminococcus,Anaerovibrio,Dialister,Megamonas,Megasphaera,Mitsuokella,Phascolarctobacterium,Schwartzia,Selenomonas,Succiniclasticum,Veillonella,Mogibacterium,Jan-68,Anaerococcus,Finegoldia,Parvimonas,Peptoniphilus,WAL_1855D,ph2,Allobaculum,Anaerorhabdus,Bulleidia,Catenibacterium,Coprobacillus,Holdemania,RFN20,Eubacterium,cc_115,p-75-a5,Fusobacterium,Leptotrichia,Sneathia,Victivallis,Brevundimonas,Ochrobactrum,Agrobacterium,Shinella,Paracoccus,Raphanus,Sphingomonas,Achromobacter,Sutterella,Oxalobacter,Ralstonia,Kingella,Neisseria,Bilophila,Desulfovibrio,Campylobacter,Helicobacter,Succinivibrio,Cardiobacterium,Providencia,Aggregatibacter,Haemophilus,Acinetobacter,Pseudomonas,Ignatzschineria,Pseudoxanthomonas,Treponema,Brachyspira,Pyramidobacter,TG5,Cloacibacillus,Synergistes,Anaeroplasma,Mycoplasma,Akkermansia
S100    ,0.0,0.0,0.0,0.0,5.3700000000000004e-05,0.0,0.0,0.0,0.0,0.0,0.060224892,0.0,0.0,0.0,0.0,0.012292073,0.0,0.0,0.0,0.324831241,0.0,0.0036079429999999997,0.0,0.0,0.00012533799999999998,0.0,0.12131819699999999,0.002166556,0.006069939,0.0,0.0,0.0,3.5799999999999996e-05,0.0,0.0,0.0,0.0,0.0036168959999999997,0.0,1.7899999999999998e-05,0.0,0.0,0.001450339,0.0,7.159999999999999e-05,0.000689359,0.0,0.0,7.159999999999999e-05,0.0,0.000134291,0.017251876,0.0,0.056043975999999995,0.009588354,0.0,0.003222976,0.00633852,3.5799999999999996e-05,0.0,0.0,0.0,0.027628068999999998,0.0,0.028398002000000002,0.0,0.0,0.0,0.00018800700000000002,0.0008773660000000001,0.033044459,0.0,0.02588229,0.0,0.01660728,0.0,0.000966893,0.0,0.0,0.0,0.068300238,0.0,0.0,0.0,0.000644595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5799999999999996e-05,0.0,0.0,8.950000000000001e-05,0.0,0.0,0.0,0.0,0.005255241999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048505792,0.0,0.0,0.0,0.0,0.014852549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000304392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004171964,0.0,0.0,0.094988272
S101    ,0.0,0.0,0.0,0.0,0.000102842,0.0,5.14e-05,0.00016711900000000002,0.0,0.0,0.021571173,0.0,0.0,0.0,0.0,0.014320791000000001,0.0,0.0,0.000205685,0.133425034,0.0,0.013806579,0.0,0.0,0.22431192100000003,0.0,0.007995989,0.002776742,0.0045250609999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002301097,0.00024425,6.43e-05,0.001632622,5.14e-05,0.0,0.0,0.0,0.0009641469999999999,0.018730155,0.0,0.013858,0.006774736999999999,0.0,0.010978416000000001,0.004190824,0.0,0.0,0.0,0.0,0.08159251299999999,0.0,0.063415136,0.0,0.0,0.0,0.0,0.0008613039999999999,0.18264793199999999,0.020645593,0.039684274,0.0,0.011646891000000001,0.0,0.001426937,0.0,7.709999999999999e-05,0.0,0.048785817999999995,5.14e-05,0.000102842,0.0,0.0025710579999999998,0.0,0.0,0.0,0.0,0.0,2.57e-05,0.00011569799999999999,0.0,5.14e-05,0.0,0.0,0.003008137,0.00011569799999999999,0.00014140799999999999,0.0,0.011299798,0.0,0.0,0.000758462,0.000321382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011993984,0.00039851400000000004,0.0,0.0,0.001478358,0.0021982539999999997,0.002763887,0.000205685,0.0,0.0,0.0,0.0,0.000154263,0.000912725,0.0,0.0005656330000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.86e-05,0.0,0.0,0.0,0.026893262999999997
S102    ,4.6200000000000005e-05,0.0,0.0,0.0,0.00013853700000000002,0.0,0.0,0.0,0.00011083,0.0,0.00018471700000000001,0.0,0.0,0.0,4.6200000000000005e-05,0.007046936,0.00010159399999999999,0.0,0.0,0.044812236,0.0,0.004423961,0.0,0.0,0.261586346,0.0,0.007120823,0.0014223170000000002,0.000369433,0.0,0.003731274,0.0,5.539999999999999e-05,1.85e-05,0.0,0.0,0.0,0.00044332,0.0,0.0,0.0,0.0,0.001496204,0.0,0.00010159399999999999,0.000314018,0.0,0.0,0.0,1.85e-05,0.000157009,0.0056800340000000005,0.0,0.011766444,0.0034726709999999997,0.0,0.00013853700000000002,0.0009420539999999999,0.0,0.0,0.0,0.0,0.012699263,0.0,0.005218243,0.0,0.0,0.0,0.001514676,0.0,0.0025029089999999998,0.001015941,0.012292886999999999,0.0,0.02527846,0.025010621,0.002798456,0.0,0.00451632,0.000350961,0.044110313,0.0,0.0,0.0,0.0008774039999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69e-05,0.0,0.00018471700000000001,0.001089828,0.0,0.0,0.0,0.019884737,0.0,0.0,0.000277075,0.000212424,0.0,0.00040637599999999996,0.00013853700000000002,0.0,0.0,0.0,0.001893345,0.0,0.0,0.00011083,0.027421172,0.000120066,0.0,0.0,0.000489499,0.002826163,0.003398785,0.0,0.0,0.442737869,0.0,0.0,0.000286311,0.002715333,0.00010159399999999999,0.000507971,0.0,1.85e-05,0.0,0.0,0.00032325400000000003,0.0,0.0,0.0,0.0,0.0,0.0008866389999999999
S103    ,0.0,0.0,0.0,0.0,5.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019022879999999998,0.0,0.0,0.000380458,0.096819899,0.0,0.002991184,0.0,0.0,0.318508606,0.0,0.003778338,0.008763644000000001,0.004119437,0.005680625999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000131192,0.000209908,0.0,7.87e-05,0.00187605,0.0,0.0,0.0,0.0,0.0,0.021791037000000003,0.0,0.007254933000000001,0.002676322,0.0,0.002650084,0.0024008189999999998,0.0,0.0,0.0,0.0,0.05772460099999999,0.0,0.025202036,0.00011807299999999999,0.0,3.9399999999999995e-05,0.00018366900000000002,0.0,0.074267947,0.009616394,0.110477015,0.0,0.044015008,0.0,0.018196369,0.0,0.000393577,0.021135076000000003,0.075120697,0.0,0.0,0.0,0.0,6.56e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002269626,0.011820424,0.0,0.00036733800000000004,0.0,0.0,0.000813392,0.0,0.0,5.25e-05,0.0,0.001088896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015756192,0.0,0.0,0.0,0.0,0.002020361,0.045445004000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001666142,0.0,0.0,7.87e-05
S104    ,0.001127002,0.0,0.0,0.0,0.000159962,0.0,0.0,0.0,0.0,0.0,0.027484313,0.0,0.0,8.73e-05,0.0,0.005438695,0.000356278,0.0,0.0,0.295769015,3.64e-05,0.008477965,2.9100000000000003e-05,2.18e-05,0.000494427,0.0,0.030334537999999998,0.007576363000000001,0.006951059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000356278,0.000101794,2.9100000000000003e-05,0.000363549,0.0,5.0900000000000004e-05,0.0,0.000167233,0.000618033,0.157402223,0.0,0.035649626000000004,0.0,0.0,0.0,0.000138149,0.0,0.0,0.0,0.0,0.013058684,0.0,0.004471654,0.0,0.0,0.0,0.00017450400000000002,0.0,0.029643795,0.021951095,0.008005350999999999,0.0,0.07938458400000001,0.0,0.001141544,0.0,0.027142577,0.0,0.05803698,0.0,0.0,0.0,0.000319923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9100000000000003e-05,0.0,0.0,0.000283568,8.73e-05,0.0,4.36e-05,0.0,0.0,0.003540968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099765147,0.000232671,0.0,0.0,0.000123607,0.025848342000000003,0.04641068,0.0,0.0,0.0,0.0,0.0,0.0,0.0002254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008579760000000001
S105    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030261470000000003,0.0,0.0,0.655074054,0.0,0.014737611999999999,0.0,0.0,0.0012068019999999999,0.0,0.000319985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034741300000000003,0.0,0.000255988,0.074785153,0.0,0.0,0.0,0.0030901440000000004,0.0,0.009974400999999999,0.0,0.003007862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016721521,0.0,0.059718413,0.0,4.57e-05,0.0,0.012488572,0.000319985,0.0,0.0,0.03272079,0.0,0.0,0.0,0.00016456400000000002,0.0,0.0,0.0,0.08684403,0.0,0.0,0.0,0.000237703,0.0,0.0,3.66e-05,0.0,0.0,3.66e-05,0.000146279,0.0,8.23e-05,0.0,0.0,0.0,0.004306089,9.14e-05,0.0,0.000393125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019016270000000001,0.0,0.0,0.000118852,0.0,0.008502468000000001,0.008968733000000001,0.0,0.0,0.0,0.0,0.0,0.000146279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000182849
S106    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.53e-05,0.0,0.0,0.011513466000000002,0.0,0.000102342,0.0,0.0,0.008119125999999999,0.0,0.001057533,0.000392311,0.37842632200000004,0.0,0.003411397,0.0,0.0,0.000426425,0.0,0.003496682,0.0,0.000153513,0.0,0.015266004,0.0,0.0,0.0,0.0,0.0,0.0,0.0037184229999999998,0.0,0.0,0.0,0.0,0.008204411,0.0,0.0,0.0013986729999999998,0.0,0.0,0.0,6.82e-05,0.0,0.00458833,0.0,0.00107459,0.016954645,0.0,0.0,0.0,0.0,0.0,0.0,0.000750507,0.006345199,0.0,0.000767564,0.0,0.0,0.0,0.0,0.0,0.000460539,0.00266089,0.0004946530000000001,0.0,0.076568816,0.0,0.0,0.0,0.336875501,0.0,0.021850001,0.0,0.0,0.0,0.003104372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031060774,0.0,0.0,0.0,0.0,0.0,0.0,0.000102342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059358315999999994,0.0,0.0,0.0,0.0,0.000409368,0.0,6.82e-05,0.0,0.0,3.41e-05,0.0,0.0,0.000579938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.12e-05
S107    ,0.0,0.0,0.0,0.0,5.25e-05,0.0,0.0,0.0,2.6300000000000002e-05,0.0,0.0,0.0,0.0,0.0,3.5e-05,0.0,0.0,0.000122508,0.0,0.6115700310000001,0.0,0.090174837,3.5e-05,0.0,0.000603791,0.0,0.005959152,0.0,3.5e-05,0.0,0.08362064400000001,0.0,0.0,0.0,0.0,0.0,6.13e-05,0.000218765,0.0,0.0,0.0,0.0,0.0015051020000000001,0.0,0.0,0.015453543,0.0,0.0,0.0,0.0,0.0,0.002030137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000271268,0.002861443,0.0,0.0026251770000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003806507,0.0,6.13e-05,0.0,0.0029401979999999998,0.0,0.002450165,0.0,0.0,0.0,7.879999999999999e-05,0.0,0.073356202,0.0,0.0,0.0,0.0,0.0,0.0,0.000262518,0.0,5.25e-05,0.0,0.0,0.006396682,0.0,0.0,0.0,0.000367525,0.0,0.0,0.000840057,1.75e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091338665,0.0,0.0,0.0,6.13e-05,7.879999999999999e-05,0.0,3.5e-05,0.0,0.0,0.0,0.0,0.0,0.000253767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000341273
S108    ,0.0,0.0,0.0,0.0,5.2300000000000004e-05,0.0,0.0,0.0,0.0,0.0,0.000156839,0.0,0.0,0.000134434,0.0,0.001068001,0.00011949700000000001,0.0,0.0,0.497285186,0.0,0.036386721000000004,0.0,0.0,0.0,0.0,0.007401321999999999,4.48e-05,0.014376937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041077,0.00020911900000000001,0.0,0.000156839,0.0,0.0,0.0,0.0,0.001755107,0.008551477,0.0,0.013704768999999999,0.000985847,0.0,0.014227566,0.0069606780000000005,0.0,0.0,0.0,0.0,0.067986109,0.0,0.005168229,0.0,0.0,0.0,0.0,0.0,0.080436163,0.005429628000000001,0.051256582,0.0,0.068187759,0.0,0.00168789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000298742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2300000000000004e-05,0.0,2.99e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100787931,0.001209903,0.0,0.0,4.48e-05,0.012681578999999998,0.0,3.73e-05,0.0,0.0,0.0,0.0,0.0,0.000455581,0.0,0.0,0.0,0.0,0.0,0.0,4.48e-05,0.0,0.0,0.0,0.0,0.0,0.00021658799999999998
S109    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000113102,0.0,0.0,0.0,0.0,0.0,0.0,0.009874717,0.0,0.000130503,0.0010875239999999999,0.23789803399999998,0.0,0.045162694,0.001792239,0.0,0.19986949699999998,0.0,0.013624500000000001,0.0070210540000000005,0.005315817,0.0,0.009796416,0.0,0.0,0.0,0.0,0.0,0.0,4.35e-05,0.0,0.0,0.0,0.0,0.001583435,0.000139203,5.22e-05,0.002053245,0.0,0.000182704,0.0,0.0,0.000252306,0.027684009,0.0,0.029972158999999998,0.002027145,0.0,0.000321907,0.024003827999999998,0.0,0.0,0.000417609,0.0,0.020227945,0.0,0.023760222999999997,0.0,0.0,0.000130503,0.000582913,0.0,0.08849834699999999,0.019305725,0.058969897,0.0,0.014772925,0.0,0.015390639,0.0,0.000617714,0.0,0.032904124,0.0,0.0,0.0,0.00044371,0.0,0.000661215,0.0,0.0,0.00010440200000000001,0.000174004,0.002653558,0.0,0.0,0.0,0.0,0.001044023,3.48e-05,0.000139203,0.0,0.002940665,0.0,0.0,0.002670959,7.829999999999999e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014790299999999998,0.0,0.0,0.024699843,0.0,0.0,0.0,0.000313207,0.01136245,0.055811728,0.00046981,0.0,0.0,0.0,0.0,0.0,0.000139203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.96e-05,0.00046111
S110    ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001197443,0.0,0.0,0.0005565580000000001,0.0,0.026875011,0.00012649,0.0,0.0,0.33519977100000004,0.0,0.058388005,0.0,0.0,0.00668713,0.0,0.059315602,0.0,0.006214899,0.0,0.001307068,0.0,0.0,0.0,0.0,0.0,0.0,0.011915403,0.0,0.0,0.0,0.0,0.0075556980000000004,0.000261414,0.0,0.00036260599999999996,0.0,0.000101192,5.9e-05,0.0,0.001231174,0.002639435,0.0,0.019479534,0.0044187340000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008011060000000001,0.0,0.029952946,0.0,0.0,0.0,0.023493497999999998,0.0,0.000328875,7.59e-05,0.030130032,0.0,0.267932134,0.0,1.6899999999999997e-05,0.0,0.03706171,0.0,0.017776128999999998,0.0,0.0,0.0,0.00012649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012649,0.0,0.0,0.003642926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03068659,0.000826404,0.0,0.0,0.0,0.001197443,0.011696153,0.0,0.0,8.43e-05,0.0,0.0,0.0,5.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.279999999999999e-05
